rank,long_symbol,short_symbol,state_path,passive_fill_probability,simulated_edge,expected_edge,second_leg_cost_estimate,max_adverse_move,total_score,accepted,incomplete_leg,risk_flags
1,AG2608C7200,AG2608C7400,IDLE>FOUND>PENDING_FIRST_LEG>FIRST_LEG_FILLED>HEDGING_SECOND_LEG>DONE,0.7894,2.2476,0.8219,0.9524,0.7524,20.6543,True,False,
2,AG2608C7400,AG2608C7600,IDLE>FOUND>PENDING_FIRST_LEG>FIRST_LEG_FILLED>HEDGING_SECOND_LEG>DONE,0.5111,2.8833,0.407,1.0667,0.8667,-11.848,True,False,WIDE_LEG_SPREAD
3,AG2608P7200,AG2608P7000,IDLE>FOUND>PENDING_FIRST_LEG>FIRST_LEG_FILLED>HEDGING_SECOND_LEG>DONE,0.6118,2.0632,0.1255,1.1368,0.9368,-12.2862,True,False,WIDE_LEG_SPREAD
4,AG2609C7200,AG2609C7400,IDLE>FOUND>PENDING_FIRST_LEG>FAILED>COOLDOWN,0.3462,4.2429,-1.9882,3.4571,3.2571,-53.0807,False,True,LOW_PASSIVE_FILL
